Topic ID,Title,Fancy Title,Slug,Posts Count,Reply Count,Highest Post Number,Image URL,Created At,Last Posted At,Views,Like Count,Pinned,Unpinned,Closed,Visible,Tags,Last Poster Username,Category ID,posters,Original Poster ID
21485,Team #8: Better BD / Branding for Gaming in ARB,Team #8: Better BD / Branding for Gaming in ARB,team-8-better-bd-branding-for-gaming-in-arb,3,0,3,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/7/74a380df7cd89cb50c58f86b2becf852314b2ea8_2_768x1024.jpeg,2024-02-26 22:42:31,2024-02-28 01:08:35,196,1,False,,False,True,[],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14885, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14885
21494,Team 14 - Perp-Traders onboarding Program: from CEX to Perps DEX,Team 14 - Perp-Traders onboarding Program: from CEX to Perps DEX,team-14-perp-traders-onboarding-program-from-cex-to-perps-dex,3,0,3,,2024-02-27 00:37:51,2024-02-28 01:08:25,169,0,False,,False,True,[],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14888, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14888
21540,Team 19: ART to gov-nect,Team 19: ART to gov-nect,team-19-art-to-gov-nect,3,0,3,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/1/1f6fd0b1fab712d8c66bbfef23020eb3491a7435_2_768x1024.jpeg,2024-02-27 21:40:49,2024-02-28 01:07:30,115,1,False,,False,True,['proposal'],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14477, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14477
21541,Team 11 - Introduce Contributor Onboarding to Arbitrum DAO,Team 11 - Introduce Contributor Onboarding to Arbitrum DAO,team-11-introduce-contributor-onboarding-to-arbitrum-dao,3,0,3,,2024-02-27 21:47:54,2024-02-28 01:06:33,201,4,False,,False,True,[],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14909, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14909
21538,Team 10: Grantser: Create Arbitrum Grant Proposals That Get Funded,Team 10: Grantser: Create Arbitrum Grant Proposals That Get Funded,team-10-grantser-create-arbitrum-grant-proposals-that-get-funded,4,0,4,,2024-02-27 21:36:39,2024-02-28 01:06:23,143,1,False,,False,True,"['proposal', 'dao-operational-exce']",cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14906, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14906
21488,Team 3 - Ecosystem Firestarter Fund,Team 3 - Ecosystem Firestarter Fund,team-3-ecosystem-firestarter-fund,3,0,3,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/original/2X/e/eed98d74ffffc9e24abdc0ee95c23e51b1361c9d.png,2024-02-26 23:06:34,2024-02-28 01:06:14,202,4,False,,False,True,['grants-ecosystem'],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14864, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14864
21545,Team 2: Accelerating Arbitrum Governance,Team 2: Accelerating Arbitrum Governance,team-2-accelerating-arbitrum-governance,3,0,3,,2024-02-27 22:14:23,2024-02-28 01:06:07,128,1,False,,False,True,[],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14908, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14908
21544,Game SDK for interoperable Game Economies,Game SDK for interoperable Game Economies,game-sdk-for-interoperable-game-economies,3,0,3,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/original/2X/1/19e1acba1cfde5e6e59b1c8ec04ce8aa884ba45b.gif,2024-02-27 22:09:53,2024-02-28 01:05:59,116,2,False,,False,True,[],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14907, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14907
21548,Team number: 18 + contribution score: develop an individual scoring system proportional to the total value of each person´s contributions,Team number: 18 + contribution score: develop an individual scoring system proportional to the total value of each person´s contributions,team-number-18-contribution-score-develop-an-individual-scoring-system-proportional-to-the-total-value-of-each-person-s-contributions,3,0,3,,2024-02-27 22:48:23,2024-02-28 01:05:42,106,1,False,,False,True,[],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14865, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14865
21491,[DRAFT] Team 4 - Establishment of an Orbit Advocate Role,[DRAFT] Team 4 - Establishment of an Orbit Advocate Role,draft-team-4-establishment-of-an-orbit-advocate-role,3,0,3,,2024-02-26 23:29:06,2024-02-28 01:05:34,155,0,False,,False,True,['orbit-adoption-strat'],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12361, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",12361
21554,Arbitrum GovHack Track: Enhancing Grantee Engagement and Alignment in the Arbitrum Ecosystem- team 16,Arbitrum GovHack Track: Enhancing Grantee Engagement and Alignment in the Arbitrum Ecosystem- team 16,arbitrum-govhack-track-enhancing-grantee-engagement-and-alignment-in-the-arbitrum-ecosystem-team-16,3,0,3,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/8/89a8419d92e838d11aa5c92a662bb8c90cd9fcb7_2_1024x858.png,2024-02-27 22:56:08,2024-02-28 01:05:25,132,1,False,,False,True,"['grants-ecosystem', 'contributor-onboardi']",cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12801, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",12801
21555,Team 23 - M&A for Arbitrum DAO,Team 23 - M&amp;A for Arbitrum DAO,team-23-m-a-for-arbitrum-dao,3,0,3,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/original/2X/c/c3599e8cedf6c6330d0b0d202e44d0e7e4e340fe.png,2024-02-27 22:57:21,2024-02-28 01:05:12,134,2,False,,False,True,['strategic-big-bets'],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 13990, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",13990
21556,Team 9: decentralized $ARB liquidity,Team 9: decentralized $ARB liquidity,team-9-decentralized-arb-liquidity,3,0,3,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/original/2X/9/9fc17cc76df7cd2a9c4eb981e67649af001b7c30.png,2024-02-27 22:58:43,2024-02-28 01:04:54,138,1,False,,False,True,[],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12585, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",12585
21497,Team 15 - Orbit Adoption Catalyst Programme,Team 15 - Orbit Adoption Catalyst Programme,team-15-orbit-adoption-catalyst-programme,3,0,3,,2024-02-27 03:57:35,2024-02-28 01:04:28,151,1,False,,False,True,['orbit-adoption-strat'],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14294, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14294
21557,Team 21 : ZAudit - Empower Trust in Web3 Ecosystem,Team 21 : ZAudit - Empower Trust in Web3 Ecosystem,team-21-zaudit-empower-trust-in-web3-ecosystem,3,0,3,,2024-02-27 23:00:10,2024-02-28 01:04:21,110,1,False,,False,True,[],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14902, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14902
21510,Team 6 - Builder Pathways Towards Adoption,Team 6 - Builder Pathways Towards Adoption,team-6-builder-pathways-towards-adoption,5,0,5,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/2/2f40790ab111c3a60493518944401022993de072_2_1024x577.png,2024-02-27 17:08:35,2024-02-28 01:04:14,145,1,False,,False,True,['proposal'],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14808, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14808
21524,"Proposal Submission, Pitching & Judging Process","Proposal Submission, Pitching &amp; Judging Process",proposal-submission-pitching-judging-process,2,0,2,,2024-02-27 20:05:57,2024-02-27 20:12:56,150,2,False,,False,True,[],raam,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14058, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14601, 'primary_group_id': None, 'flair_group_id': None}]",14058
21519,Tean 23 - M&A for Arbitrum DAO - OLD,Tean 23 - M&amp;A for Arbitrum DAO - OLD,tean-23-m-a-for-arbitrum-dao-old,2,0,2,,2024-02-27 19:11:57,2024-02-27 23:13:19,143,1,False,,True,True,[],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 13990, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",13990
