Topic ID,Title,Fancy Title,Slug,Posts Count,Reply Count,Highest Post Number,Image URL,Created At,Last Posted At,Views,Like Count,Pinned,Unpinned,Closed,Visible,Tags,Last Poster Username,Category ID,posters,Original Poster ID
13949,Proposal: Count ARB Balance in QiDao Vaults into Voting Power,Proposal: Count ARB Balance in QiDao Vaults into Voting Power,proposal-count-arb-balance-in-qidao-vaults-into-voting-power,22,11,22,,2023-04-17 13:04:49,2023-10-16 15:44:43,1992,77,False,,True,True,[],stonecoldpat,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 11203, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7308, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8362, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7988, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 10318, 'primary_group_id': None, 'flair_group_id': None}]",11203
5611,Arbitrum loyalty program proposal,Arbitrum loyalty program proposal,arbitrum-loyalty-program-proposal,54,8,60,,2023-03-18 17:46:21,2023-08-18 11:56:12,3645,230,False,,True,True,[],stonecoldpat,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 3480, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 9191, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 780, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7277, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 10318, 'primary_group_id': None, 'flair_group_id': None}]",3480
14260,Partnership Proposal to Arbitrum DAO,Partnership Proposal to Arbitrum DAO,partnership-proposal-to-arbitrum-dao,4,1,5,,2023-05-02 03:22:13,2023-08-18 11:55:59,1239,30,False,,True,True,[],stonecoldpat,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 2073, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11392, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11137, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 10318, 'primary_group_id': None, 'flair_group_id': None}]",2073
30,AIP-1: Arbitrum Improvement Proposal Framework,AIP-1: Arbitrum Improvement Proposal Framework,aip-1-arbitrum-improvement-proposal-framework,110,60,185,,2023-03-15 14:56:58,2023-04-19 15:46:47,32098,694,False,,True,True,"['snapshot', 'failed']",Arbitrum,9,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7277, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7691, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10318, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10502, 'primary_group_id': None, 'flair_group_id': None}]",7
13490,Proposal: Return 700M $ARB to the DAO Treasury,Proposal: Return 700M $ARB to the DAO Treasury,proposal-return-700m-arb-to-the-dao-treasury,55,14,55,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/original/2X/b/b3fd6ed23af104f35e283178ce5d4d0be9789e30.png,2023-04-06 19:31:43,2023-05-11 16:24:15,14593,265,False,,True,True,"['snapshot', 'failed']",Arbitrum,9,"[{'extras': None, 'description': 'Original Poster', 'user_id': 10646, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 8318, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7123, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7988, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}]",10646
13015,Proposal: Delete the DAO and remove the governance capabilities of $ARB,Proposal: Delete the DAO and remove the governance capabilities of $ARB,proposal-delete-the-dao-and-remove-the-governance-capabilities-of-arb,6,2,7,,2023-04-02 17:25:26,2023-08-18 11:55:46,2089,21,False,,True,True,[],stonecoldpat,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 10638, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10476, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10702, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10502, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 10318, 'primary_group_id': None, 'flair_group_id': None}]",10638
12864,Clarity around the ratification of AIP-1,Clarity around the ratification of AIP-1,clarity-around-the-ratification-of-aip-1,48,13,61,,2023-04-02 08:38:56,2023-08-18 11:55:36,23676,235,False,,True,True,[],stonecoldpat,7,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 10318, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7858, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10476, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10613, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10666, 'primary_group_id': None, 'flair_group_id': None}]",10318
12799,Proposal: Setting up the first Arbitrum Community House in the Greater Helsinki region in Finland,Proposal: Setting up the first Arbitrum Community House in the Greater Helsinki region in Finland,proposal-setting-up-the-first-arbitrum-community-house-in-the-greater-helsinki-region-in-finland,17,10,18,,2023-04-01 19:20:22,2023-10-16 15:43:07,1803,8,False,,True,True,[],stonecoldpat,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 10491, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10502, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10477, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10571, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 10318, 'primary_group_id': None, 'flair_group_id': None}]",10491
12428,Proposal: Remove “Trending Delegates” from tally.xyz,Proposal: Remove “Trending Delegates” from tally.xyz,proposal-remove-trending-delegates-from-tally-xyz,17,10,17,,2023-03-28 20:22:08,2023-08-18 11:55:06,1723,48,False,,True,True,[],stonecoldpat,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 7858, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 2451, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 1151, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7734, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 10318, 'primary_group_id': None, 'flair_group_id': None}]",7858
12918,Remedying the AIP-1 Situation and offering a buy back of $ARB,Remedying the AIP-1 Situation and offering a buy back of $ARB,remedying-the-aip-1-situation-and-offering-a-buy-back-of-arb,20,8,21,,2023-04-02 14:11:00,2023-08-18 11:55:22,4504,67,False,,True,True,[],stonecoldpat,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 10552, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10568, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10657, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10683, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 10318, 'primary_group_id': None, 'flair_group_id': None}]",10552
